,chembl,indication,passed_phase_1,passed_phase_2,passed_phase_3,smiles
18208,CHEMBL3039515,HP_0002019,True,True,Unknown,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)NCC(=O)O)c3ccccc3)cc2S(=O)(=O)C1
18209,CHEMBL2105755,HP_0002019,True,True,True,CC(C)(NC(=O)C1=C(O)[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1)c1nc(-c2ccccc2)no1
18210,CHEMBL80,HP_0002019,True,True,True,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
18211,CHEMBL270190,HP_0002019,True,True,True,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1
18212,CHEMBL1718,HP_0002019,True,True,Unknown,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl
18213,CHEMBL1201770,HP_0002019,True,True,True,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.[Br-]
18214,CHEMBL76370,HP_0002019,True,True,True,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
18217,CHEMBL76370,HP_0012450,True,True,False,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
18218,CHEMBL3039511,HP_0002019,True,True,False,COc1cc(CNCCC2CCOCC2)ccc1Oc1cnc(C(N)=O)cn1
18220,CHEMBL60889,HP_0002019,True,True,False,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1
18221,CHEMBL117287,HP_0012450,True,True,False,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
18222,CHEMBL2219418,HP_0002019,True,True,True,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OCCOCCOCCOCCOCCOCCOCCOC)CC[C@@]3(O)[C@H]1C5
18224,CHEMBL1201134,HP_0002019,True,True,True,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1
18225,CHEMBL117287,HP_0002019,True,True,True,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1
18228,CHEMBL1186579,HP_0002019,True,True,True,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
18236,CHEMBL1276308,EFO_1001255,True,True,False,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
18237,CHEMBL606,EFO_1001255,True,True,False,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
18238,CHEMBL606,MONDO_0000931,True,True,False,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
18239,CHEMBL1484,EFO_0009846,True,True,Unknown,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
18240,CHEMBL730,EFO_0009846,True,True,Unknown,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
18241,CHEMBL1059,EFO_0009846,True,True,Unknown,CC(C)C[C@H](CN)CC(=O)O
18242,CHEMBL679,MONDO_0003061,True,True,False,CNC[C@H](O)c1ccc(O)c(O)c1
18243,CHEMBL548,MONDO_0003061,True,True,Unknown,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
18244,CHEMBL606,MONDO_0003061,True,True,Unknown,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
18246,CHEMBL2103846,MONDO_0003061,True,True,False,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
18252,CHEMBL269732,EFO_1000652,True,True,Unknown,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
18253,CHEMBL1643,EFO_0006890,True,True,True,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
18254,CHEMBL521,EFO_1000632,True,True,False,CC(C)Cc1ccc(C(C)C(=O)O)cc1
18255,CHEMBL3099695,EFO_1001110,True,True,True,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1
18256,CHEMBL628,MONDO_0018373,True,True,Unknown,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
18257,CHEMBL112,HP_0001643,True,True,False,CC(=O)Nc1ccc(O)cc1
18259,CHEMBL6,HP_0001643,True,True,True,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
18260,CHEMBL521,HP_0001643,True,True,True,CC(C)Cc1ccc(C(C)C(=O)O)cc1
18264,CHEMBL1201141,HP_0001643,True,True,True,CC(C)Cc1ccc(C(C)C(=O)O)cc1.NCCCC[C@H](N)C(=O)O
18266,CHEMBL393220,EFO_0009426,True,True,False,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
18267,CHEMBL1487,EFO_0009426,True,True,False,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
18268,CHEMBL1496,EFO_0009426,True,True,False,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
18269,CHEMBL1083659,EFO_0004698,True,True,True,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1
18276,CHEMBL313006,HP_0003119,True,True,False,CCC(CC)CC1(C(=O)Nc2ccccc2SC(=O)C(C)C)CCCCC1
18279,CHEMBL9194,EFO_1001461,True,True,False,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1
18281,CHEMBL1639,EFO_1001461,True,True,False,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
18282,CHEMBL1111,EFO_0004264,True,True,False,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O
18286,CHEMBL53463,MONDO_0003856,True,True,Unknown,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
18287,CHEMBL198362,EFO_0003827,True,True,True,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
18288,CHEMBL1513,MONDO_0017314,True,True,Unknown,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
18290,CHEMBL1069,EFO_1001461,True,True,False,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C
18291,CHEMBL24,EFO_0004264,True,True,False,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
18292,CHEMBL35,EFO_0003827,True,True,Unknown,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
18293,CHEMBL231779,EFO_0003827,True,True,True,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
18295,CHEMBL192,EFO_1001145,True,True,Unknown,CCCc1nn(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
18296,CHEMBL393220,HP_0001647,True,True,Unknown,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
18297,CHEMBL1487,HP_0001647,True,True,Unknown,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
18298,CHEMBL467,Orphanet_848,True,True,Unknown,NC(=O)NO
18299,CHEMBL467,MONDO_0044348,True,True,False,NC(=O)NO
18300,CHEMBL25,EFO_0009315,True,True,Unknown,CC(=O)Oc1ccccc1C(=O)O
18301,CHEMBL468,Orphanet_848,True,True,Unknown,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
18302,CHEMBL192,Orphanet_848,True,True,Unknown,CCCc1nn(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
18303,CHEMBL1771,EFO_0009315,True,True,Unknown,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
18304,CHEMBL4299940,Orphanet_848,True,True,Unknown,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1
18305,CHEMBL1166,MONDO_0002243,True,True,Unknown,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
18306,CHEMBL877,EFO_0009314,True,True,Unknown,NC[C@H]1CC[C@H](C(=O)O)CC1
18307,CHEMBL4299940,Orphanet_846,True,True,Unknown,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1
18309,CHEMBL877,Orphanet_903,True,True,False,NC[C@H]1CC[C@H](C(=O)O)CC1
18311,CHEMBL4297621,EFO_1001173,True,True,Unknown,C[C@@H](N[C@H]1CCN(c2ccc(CC(=O)O)cc2)C1)c1cccc2ccccc12
18312,CHEMBL1200776,EFO_1001173,True,True,True,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
18313,CHEMBL1042,EFO_1001173,True,True,False,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
18314,CHEMBL1201284,EFO_1001173,True,True,True,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
18315,CHEMBL1200622,EFO_1001173,True,True,True,C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O
18318,CHEMBL79,EFO_0005754,True,True,Unknown,CCN(CC)CC(=O)Nc1c(C)cccc1C
18319,CHEMBL1042,EFO_0008506,True,True,False,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
18320,CHEMBL1201284,EFO_0008506,True,True,False,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
18321,CHEMBL1200622,EFO_0008506,True,True,Unknown,C[C@@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@@]21C)C(C)(C)O
18322,CHEMBL870,HP_0000938,True,True,False,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
18323,CHEMBL81,HP_0000938,True,True,False,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
18324,CHEMBL730,HP_0000938,True,True,False,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
18325,CHEMBL1536,HP_0000938,True,True,False,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
18327,CHEMBL924,HP_0000938,True,True,False,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
18328,CHEMBL691,HP_0000938,True,True,Unknown,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
18329,CHEMBL3989569,HP_0000938,True,True,False,CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.O.[Na+]
18331,CHEMBL1389,HP_0000938,True,True,Unknown,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
18332,CHEMBL997,HP_0000938,True,True,False,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
18333,CHEMBL135,HP_0000938,True,True,False,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
18334,CHEMBL103,HP_0000938,True,True,False,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
18335,CHEMBL923,HP_0000938,True,True,Unknown,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
18336,CHEMBL1042,HP_0000938,True,True,Unknown,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
18337,CHEMBL413,MONDO_0011705,True,True,Unknown,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
18339,CHEMBL1770916,EFO_0009907,True,True,Unknown,CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1
18340,CHEMBL53463,EFO_0009907,True,True,Unknown,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
18341,CHEMBL34259,EFO_1001176,True,True,False,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
18342,CHEMBL1200914,EFO_0005323,True,True,Unknown,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1.Cl
18343,CHEMBL54,EFO_0005323,True,True,False,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
18344,CHEMBL54,EFO_0009954,True,True,False,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
18345,CHEMBL742,EFO_0005323,True,True,False,CNC1(c2ccccc2Cl)CCCCC1=O
18346,CHEMBL836,EFO_0005323,True,True,False,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
18347,CHEMBL134,EFO_0005323,True,True,Unknown,Clc1cccc(Cl)c1N=C1NCCN1
18349,CHEMBL384467,EFO_0005323,True,True,False,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
18350,CHEMBL2111101,EFO_0005772,True,True,Unknown,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1
18351,CHEMBL1267,MONDO_0019046,True,True,Unknown,CC(O)c1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
18352,CHEMBL2105395,EFO_1000096,True,True,True,OCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
18353,CHEMBL135,EFO_1000096,True,True,Unknown,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
18355,CHEMBL1201776,HP_0001822,True,True,False,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C
18356,CHEMBL1889140,HP_0001822,True,True,Unknown,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl
18357,CHEMBL1200396,HP_0001822,True,True,Unknown,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl
18358,CHEMBL1077896,HP_0001822,True,True,Unknown,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
18361,CHEMBL1098,HP_0001822,True,True,Unknown,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
18362,CHEMBL1643,HP_0012115,True,True,False,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
18363,CHEMBL1535,EFO_1000954,True,True,Unknown,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
18364,CHEMBL131,EFO_1000954,True,True,Unknown,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
18365,CHEMBL1200853,EFO_1000954,True,True,False,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
18366,CHEMBL25,EFO_1000954,True,True,False,CC(=O)Oc1ccccc1C(=O)O
18367,CHEMBL270190,MONDO_0004880,True,True,False,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1
18369,CHEMBL1437,HP_0031273,True,True,Unknown,NC[C@H](O)c1ccc(O)c(O)c1
18371,CHEMBL2051955,HP_0031273,True,True,Unknown,C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
18372,CHEMBL2107830,HP_0031273,True,True,Unknown,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
18375,CHEMBL389621,HP_0031273,True,True,Unknown,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
18376,CHEMBL1256175,HP_0031273,True,True,False,CC(=O)O.CNC(=N)NCCC[C@H](N)C(=O)O
18377,CHEMBL59,HP_0031273,True,True,False,NCCc1ccc(O)c(O)c1
18378,CHEMBL877,HP_0031273,True,True,Unknown,NC[C@H]1CC[C@H](C(=O)O)CC1
18380,CHEMBL256147,HP_0031273,True,True,False,CNC(=N)NCCC[C@H](N)C(=O)O
18381,CHEMBL1201010,HP_0031273,True,True,Unknown,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
18382,CHEMBL1607,MONDO_0003692,True,True,False,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1.Cl
18383,CHEMBL359744,EFO_0005561,True,True,Unknown,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl
18384,CHEMBL1200963,MONDO_0003037,True,True,True,CCNC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCc1ccccc1
18385,CHEMBL121,EFO_1001373,True,True,Unknown,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
18386,CHEMBL1737,EFO_0000495,True,True,False,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O
18387,CHEMBL548,EFO_0000495,True,True,Unknown,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
18388,CHEMBL192,EFO_0000495,True,True,False,CCCc1nn(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
18391,CHEMBL25,EFO_0000495,True,True,Unknown,CC(=O)Oc1ccccc1C(=O)O
18392,CHEMBL1678,EFO_0001064,True,True,False,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl
18393,CHEMBL559,EFO_0001064,True,True,False,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
18394,CHEMBL502,EFO_0001064,True,True,False,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
18395,CHEMBL384467,EFO_1001896,True,True,True,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
18396,CHEMBL79,EFO_1001887,True,True,False,CCN(CC)CC(=O)Nc1c(C)cccc1C
18397,CHEMBL1200762,EFO_1001434,True,True,False,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
18398,CHEMBL1201207,EFO_1001434,True,True,False,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
18399,CHEMBL1200538,EFO_1001434,True,True,False,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
18400,CHEMBL131,EFO_1001887,True,True,True,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
18401,CHEMBL1504,EFO_1001896,True,True,True,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
18402,CHEMBL877,EFO_1001178,True,True,Unknown,NC[C@H]1CC[C@H](C(=O)O)CC1
18403,CHEMBL131,HP_0012424,True,True,True,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
18404,CHEMBL384467,HP_0012424,True,True,True,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
18405,CHEMBL389621,EFO_0009491,True,True,Unknown,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
18406,CHEMBL131,EFO_0009491,True,True,Unknown,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
18407,CHEMBL650,EFO_0007167,True,True,False,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
18408,CHEMBL1201265,EFO_0001063,True,True,False,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
18409,CHEMBL384467,EFO_0001063,True,True,False,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
18410,CHEMBL635,EFO_0001063,True,True,False,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
18411,CHEMBL1201081,EFO_0001063,True,True,False,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)[O-])[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12.[Na+]
18412,CHEMBL1444,MONDO_0011972,True,True,Unknown,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
18413,CHEMBL384467,MONDO_0011972,True,True,Unknown,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
18414,CHEMBL1201087,MONDO_0011972,True,True,Unknown,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
18416,CHEMBL103,MONDO_0011972,True,True,Unknown,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
18417,CHEMBL846,MONDO_0017198,True,True,False,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
18418,CHEMBL596,EFO_0009842,True,True,False,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
18419,CHEMBL1242,EFO_0003901,True,True,Unknown,Nc1ccc(/N=N/c2ccccc2)c(N)n1
18420,CHEMBL92,HP_0012378,True,True,False,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
18421,CHEMBL14370,HP_0012378,True,True,Unknown,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
18422,CHEMBL1201192,HP_0012378,True,True,Unknown,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1
18423,CHEMBL596,EFO_0009727,True,True,Unknown,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
18424,CHEMBL844,EFO_0003822,True,True,False,Brc1c(NC2=NCCN2)ccc2nccnc12
18425,CHEMBL1201022,EFO_0003901,True,True,Unknown,Cl.Nc1ccc(/N=N/c2ccccc2)c(N)n1
18426,CHEMBL384467,HP_0012378,True,True,Unknown,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
18427,CHEMBL79,EFO_0003901,True,True,False,CCN(CC)CC(=O)Nc1c(C)cccc1C
18428,CHEMBL1722,HP_0012378,True,True,Unknown,COC(=O)C(c1ccccc1)C1CCCCN1.Cl
18431,CHEMBL796,EFO_0007625,True,True,False,COC(=O)C(c1ccccc1)C1CCCCN1
